Date,Home,Away,Result
10 May,Buckfastleigh,South Brent,Rained off
17 May,Manaton,Buckfastleigh,Manaton won
24 May,South Brent,Ilsington,Match drawn
31 May,Manaton,South Brent,South Brent won
6 June,Ilsington,Buckfastleigh,Buckfastleigh won
6 June,Dartanians,South Brent,South Brent won
13 June,Dartanians,Buckfastleigh,Buckfastleigh won
20 June,Dartanians,Ilsington,Ilsington won
21 June,South Brent,Manaton,South Brent won
28 June,Buckfastleigh,Manaton,Buckfastleigh won
11 July,Manaton,Ilsington
12 July,South Brent,Buckfastleigh,
19 July,Buckfastleigh,Ilsington,
1 Aug, Ilsington,South Brent,
16 Aug,Ilsington,Manaton,
22 Aug,Dartanians,Manaton,
