Date,Home,Away,Result
10 May,Buckfastleigh,South Brent,Rained off
17 May,Manaton,Buckfastleigh,Manaton won
24 May,South Brent,Ilsington,Match drawn
31 May,Manaton,South Brent,South Brent won
6 June,Ilsington,Buckfastleigh,Buckfastleigh won
6 June,Dartanians,South Brent,South Brent won
13 June,Dartanians,Buckfastleigh,Buckfastleigh won
20 June,Dartanians,Ilsington,Ilsington won
21 June,South Brent,Manaton,South Brent won
28 June,Buckfastleigh,Manaton,Buckfastleigh won
11 July,Manaton,Ilsington,Postponed
12 July,South Brent,Buckfastleigh,Postponed
19 July,Buckfastleigh,Ilsington,Ilsington won
26 July,Buckfastleigh,South Brent,South Brent won
1 Aug, Ilsington,South Brent,Postponed
2 Aug,South Brent,Buckfastleigh,Rained off, match drawn
16 Aug,Ilsington,Manaton,Manaton won
22 Aug,Dartanians,Manaton,
24 Aug,Ilsington,South Brent,
